Area,MjrAxisLength,MnrAxisLength,Eccentricity,ConvexArea,EquivDiameter,Solidity,Extent,Perimeter,ConvexPerim,FibLen,InscribeR,BlebLen,Class
331.6265,26.246,16.5715,0.77546,372.1108,20.5485,0.8912,0.61699,83.448,70.9153,31.7999,7.9025,11.3157,0
330.3344,23.4967,18.4265,0.62049,367.3732,20.5084,0.89918,0.6687,80.8584,67.7344,28.2467,8.6318,12.2438,0
453.51,27.4485,23.1884,0.53509,567.6412,24.0297,0.79894,0.64443,116.2613,85.1727,41.9157,9.6896,13.8282,0
453.51,26.523,24.0395,0.4225,561.1809,24.0297,0.80814,0.57228,121.1426,84.9246,40.5565,9.7561,11.7468,0
452.2179,29.6486,21.3746,0.693,566.3491,23.9955,0.79848,0.54264,119.9633,86.0304,42.4594,8.8291,21.2064,0
451.7873,28.7337,22.0267,0.64215,572.3787,23.984,0.78932,0.55444,125.3145,86.2037,42.0749,8.8291,13.1719,0
455.6634,29.5076,21.5472,0.68321,574.9628,24.0867,0.79251,0.57251,120.3925,87.6311,41.0342,9.1171,13.7156,0
456.0941,28.5973,22.4219,0.62069,581.8537,24.0981,0.78386,0.55156,122.4052,87.6094,38.8596,9.3273,13.2845,0
456.5248,28.2318,22.67,0.59599,573.6708,24.1094,0.7958,0.53698,123.7952,86.4104,37.05,9.281,13.4438,0
352.73,24.2135,19.4509,0.59557,397.0904,21.1922,0.88829,0.74319,83.3384,70.9797,31.1436,9.1877,11.475,0
353.1607,28.8824,16.3403,0.82457,409.1496,21.2051,0.86316,0.54485,94.7043,76.0447,33.9279,7.4248,11.0905,0
352.2993,27.598,17.1594,0.78321,404.8427,21.1793,0.87021,0.61689,88.0386,74.3555,32.3902,8.0107,10.5469,0
355.7448,28.1374,16.9228,0.79892,406.1348,21.2826,0.87593,0.54884,90.8724,74.6711,31.1436,7.4826,12.7875,0
356.1755,27.8298,17.1295,0.78813,408.7189,21.2955,0.87144,0.5495,91.524,74.6606,31.7999,7.9025,12.1312,0
350.5766,28.371,16.4631,0.81442,401.3973,21.1274,0.87339,0.55374,95.7628,74.8779,34.1998,7.4826,12.9467,0
352.73,25.9197,18.1999,0.71201,401.8279,21.1922,0.87781,0.65311,86.6224,72.6892,30.3281,8.7557,11.5876,0
342.8243,23.3501,20.042,0.5131,412.595,20.8925,0.8309,0.67003,90.1334,71.9785,31.1436,7.8752,14.7563,0
343.6856,25.079,18.7065,0.66606,413.8871,20.9188,0.83039,0.56757,97.3366,72.6092,30.7125,7.3373,17.2688,0
343.6856,25.0487,18.6912,0.66573,417.3326,20.9188,0.82353,0.5991,98.3512,73.3192,34.856,7.4248,15.4126,0
342.8243,24.0438,19.5314,0.5832,417.7632,20.8925,0.82062,0.58529,98.8775,72.4891,34.2657,7.9025,13.0593,0
341.5322,23.064,20.294,0.47516,418.6246,20.8531,0.81584,0.55261,98.5743,73.0594,31.8658,7.9297,13.1719,0
342.3936,23.7137,19.7265,0.55498,416.0405,20.8794,0.82298,0.58242,98.6288,72.4241,32.2969,7.9025,9.8906,0
342.3936,24.494,19.0449,0.62884,408.2882,20.8794,0.83861,0.68831,92.6357,71.7829,31.7999,7.4826,14.3719,0
298.4638,24.9793,17.2958,0.72151,406.9961,19.494,0.73333,0.5,105.2656,74.4815,33.225,7.2487,16.6125,0
300.1866,25.5115,17.0869,0.74257,411.303,19.5502,0.72984,0.45916,117.1092,76.1208,34.3783,6.8516,18.8531,0
299.7559,25.2924,17.1762,0.73404,415.6098,19.5361,0.72124,0.47283,118.9756,76.2941,34.2657,6.9762,19.2376,0
300.1866,25.2037,17.2292,0.72986,410.4416,19.5502,0.73137,0.49964,112.7286,74.3942,32.5221,6.9762,18.3095,0
297.6025,25.7355,16.8276,0.75661,415.1791,19.4658,0.7168,0.46943,115.2526,75.04,33.4502,6.7567,18.4687,0
300.1866,25.5546,17.0588,0.74457,419.9167,19.5502,0.71487,0.53947,116.7778,75.9075,34.856,7.0682,17.1562,0
298.0332,21.6563,19.9358,0.39061,413.0257,19.4799,0.72158,0.5203,115.6542,73.1453,30.7592,7.0682,17.5406,0
355.7448,27.6266,17.4674,0.77475,423.3621,21.2826,0.84028,0.53153,92.8202,76.6688,36.8908,7.3373,20.2783,0
355.7448,23.1882,20.9125,0.43203,434.1292,21.2826,0.81944,0.54306,100.5818,74.6659,32.1843,7.6533,10.275,0
355.7448,30.9821,15.6325,0.86337,435.852,21.2826,0.81621,0.46932,103.974,80.9293,40.4906,7.2189,17.6532,0
356.1755,30.5017,15.9016,0.85335,436.7133,21.2955,0.81558,0.51049,108.0508,81.9216,38.2966,7.6814,18.5813,0
