Frames,CellNum,Area,CentroidX,CentroidY,MjrAxisLength,MnrAxisLength,Eccentricity,Orientation,ConvexArea,FilledArea,EquivDiameter,Solidity,Extent,Perimeter,PerimOld,ConvexPerim,FibLen,InscribeR,BlebLen,CenterX,CenterY
84,1,1294,87.0340030911901,832.600463678516,53.2620400404955,37.3245556018895,0.713385141320521,-9.4801455948957,1667,1294,40.5902940478053,0.77624475104979,0.447595987547561,177.586,186.852813742386,163.991,74.0832977294922,14.3178215026855,22.8994941711426,90,832
85,1,1330,83.2593984962406,834.221052631579,62.0298536622295,31.5684993851579,0.860811282782266,-9.23192042853778,1577,1330,41.1510460923871,0.843373493975904,0.544635544635545,172.69,183.095454429505,161.583,77.669075012207,14.1421356201172,32.5563468933105,89,833
86,1,1181,84.1828958509738,832.541066892464,47.8859843262861,37.1411097998361,0.631205716818188,15.0353262170518,1583,1181,38.777518001185,0.746051800379027,0.547773654916512,183.698,193.338095116624,150.411,64.2842864990234,14.3178215026855,27.1421337127686,88,832
87,1,1130,83.3575221238938,832.947787610619,46.1590152452363,33.9541234469284,0.67742669278095,9.0264354007248,1285,1130,37.9309990054406,0.879377431906615,0.60687432867884,148.434,156.610173055266,131.778,51.9705696105957,14.3178215026855,20.0710678100586,87,833
88,1,1126,81.9982238010657,831.904973357016,46.7157297318021,32.7485608389809,0.713143717170626,22.3991703335697,1273,1126,37.8638049774688,0.884524744697565,0.596714361420244,145.755,153.681240867132,132.994,54.6274261474609,14.0356683731079,19.656852722168,85,832
89,1,1095,84.4255707762557,829.910502283105,42.3457638571057,34.9561021795697,0.564413373073581,39.0176926413268,1225,1095,37.3389515316781,0.893877551020408,0.638111888111888,145.804,153.78174593052,125.972,50.4558486938477,14.0356683731079,9.24264049530029,86,830
90,1,1068,84.0196629213483,835.373595505618,42.9384951878919,34.3462406212203,0.600141433001831,-64.182486171639,1200,1068,36.8757350269409,0.89,0.595317725752508,144.986,152.267027304759,128.966,55.0416450500488,13.34166431427,20.8994941711426,84,834
91,1,1101,87.1217075386013,836.029972752044,44.4053015339426,33.254823772627,0.662690825209692,-29.1059777950997,1264,1101,37.4411102767187,0.871044303797468,0.542899408284024,161.874,170.40916292849,131.672,59.970573425293,13.9283885955811,24.7279205322266,88,836
92,1,1233,86.5174371451744,837.974047039741,51.3522612395746,33.1857588028853,0.763136322208878,-18.159204636817,1404,1233,39.6220186090822,0.878205128205128,0.54078947368421,149.848,158.610173055266,141.976,64.1127166748047,13.8924436569214,21.6568546295166,86,836
93,1,1166,87.8353344768439,835.547169811321,48.2380474101069,33.3040700732355,0.7234175099767,-15.1405110945247,1299,1166,38.5304724751877,0.897613548883757,0.564102564102564,142.968,151.095454429505,134.772,58.2842864990234,14.3178215026855,16.4852809906006,89,834
94,1,1105,87.2443438914027,834.8407239819,46.4064338048071,32.509100514488,0.713622922549739,-7.68912583688161,1224,1105,37.5090615309468,0.902777777777778,0.574324324324324,138.833,146.267027304759,130.538,55.6274261474609,14.1421356201172,16.0710678100586,89,834
95,1,1266,83.2006319115324,836.156398104265,56.0478401592811,35.3404443802125,0.776156186188035,-17.356568311229,1727,1266,40.1487392533653,0.73306311522872,0.439430753210691,198.626,211.379725676967,164.718,76.1127166748047,14.1421356201172,32.8994941711426,86,834
96,1,1256,85.2078025477707,837.145700636943,53.4203409690296,34.1634151837554,0.768773856446398,-13.0324242998057,1660,1256,39.9898595669873,0.756626506024096,0.506451612903226,177.306,186.651803615609,156.2,70.3553619384766,14.1421356201172,44.7989959716797,89,836
97,1,1257,82.8257756563246,837.35799522673,54.4447119714474,34.5720862492848,0.772516753483739,-18.4155466213589,1563,1257,40.0057759296342,0.804222648752399,0.498809523809524,169.771,179.095454429505,155.662,72.5979995727539,14.1421356201172,35.9705657958984,87,837
98,1,1303,82.4650805832694,837.023791250959,53.0620116681376,36.9448834121915,0.717791002829848,-1.0908085410375,1777,1303,40.7312058106548,0.733258300506472,0.552118644067797,189.28,200.994949366117,157.34,70.5979995727539,14.1421356201172,51.0416412353516,87,835
1,2,2007,141.651220727454,867.382660687593,174.949113333703,20.5984780776741,0.993044477094566,-71.2658839516717,3411,2007,50.5508829426695,0.588390501319261,0.183321154548776,377.733,399.504617357996,355.238,185.196029663086,9.21954441070557,105.183792114258,149,893
2,2,1823,148.715304443225,869.990674712013,200.244878867189,20.6481335311763,0.99466950160818,-72.541504670726,3650,1823,48.1779585500694,0.499452054794521,0.15845284658844,402.601,427.646752981727,380.509,200.852890014648,8.06225776672363,117.84065246582,153,888
3,2,1905,156.100787401575,878.833070866142,191.813851005609,20.4946026700261,0.994275548075624,-73.1246055221944,3514,1905,49.2495820563026,0.542117245304496,0.179378531073446,398.201,421.504617357996,381.187,201.267105102539,8.48528099060059,120.84065246582,158,892
4,2,1780,155.365730337079,873.863483146067,189.273176054779,25.3380053008068,0.990998897937136,-73.5635191967977,3675,1780,47.6063692128332,0.484353741496599,0.190537358167416,386.581,409.605122421384,370.767,196.438674926758,8.9442720413208,137.911727905273,162,898
5,2,1966,156.532044760936,871.751271617497,177.577592922828,23.8913545172222,0.990908113629098,-71.9358496159612,3851,1966,50.0318792866042,0.510516748896391,0.192745098039216,404.826,429.0609665441,369.766,196.509750366211,8.24621105194092,116.84065246582,161,888
6,2,2237,157.938757264193,869.987036209209,193.50782554308,23.2048366944305,0.992783946385425,-71.8178273952318,3770,2237,53.3688754010477,0.593368700265252,0.192977915804003,426.857,456.031529292577,393.154,210.509750366211,7.61577320098877,126.083297729492,164,890
7,2,2146,156.615097856477,866.955731593663,189.924826289955,26.3930700769653,0.990297170040067,-74.9569968950164,4219,2146,52.2720964090944,0.5086513391799,0.190433933800692,458.11,486.859956417323,408.297,216.68132019043,8.5440034866333,129.183792114258,161,888
8,2,2374,157.009688289806,866.443976411121,204.175498085318,26.3512397500267,0.991636563447678,-71.9287429741161,4915,2374,54.9788202783697,0.483011190233978,0.168655868144359,501.645,531.730014102412,442.32,236.995040893555,8.24621105194092,120.769577026367,152,869
9,2,2022,153.416419386746,862.362512363996,175.822660122448,26.3469157281197,0.98870883722946,-73.7436702348815,3656,2022,50.7394359394593,0.553063457330416,0.18572609534307,444.059,469.889393668846,406.668,215.024459838867,9.21954441070557,121.698501586914,150,870
10,2,2260,159.13185840708,866.665044247788,208.034199985359,25.2600009116869,0.992600933678898,-71.8859846425808,4754,2260,53.6425332278544,0.475389145982331,0.143382819439157,499.544,531.144227664786,458.488,245.066116333008,8.06225776672363,134.84065246582,161,879
